dealer_id,rounded_price,car_id,price,url
4727,10000,27817634,13495,https://smithssportsandperformance.co.uk/vehicle-details/used-mini-hatch-cooper-sport-for-sale-in-leicestershire-u55841/
4727,15000,27700939,15995,https://smithssportsandperformance.co.uk/vehicle-details/used-infiniti-qx70-d-v6-ultimate-for-sale-in-leicestershire-u55796/
4727,20000,27875733,22795,https://smithssportsandperformance.co.uk/vehicle-details/used-volkswagen-golf-tsi-bluemotion-tech-gti-clubsport-40-for-sale-in-leicestershire-u55851/
4727,25000,27667347,29995,https://smithssportsandperformance.co.uk/vehicle-details/used-honda-civic-vtec-turbo-type-r-gt-for-sale-in-leicestershire-u55834/
4727,30000,27737791,30995,https://smithssportsandperformance.co.uk/vehicle-details/used-jaguar-xe-p300i-r-dynamic-hse-for-sale-in-leicestershire-u55836/
4727,35000,27458822,35495,https://smithssportsandperformance.co.uk/vehicle-details/used-mercedes-benz-c-class-c63-v8-biturbo-amg-s-for-sale-in-leicestershire-u55774/
4727,40000,27079742,41995,https://smithssportsandperformance.co.uk/vehicle-details/used-mercedes-benz-c-class-c43-v6-amg-night-edition-for-sale-in-leicestershire-u55707/
4727,50000,28009410,52995,https://smithssportsandperformance.co.uk/vehicle-details/used-bmw-m4-biturbo-competition-for-sale-in-leicestershire-u55870/
4727,55000,28099785,56995,https://smithssportsandperformance.co.uk/vehicle-details/used-jaguar-f-pace-p550-v8-svr-for-sale-in-leicestershire-u55865/
4727,65000,27889455,68995,https://smithssportsandperformance.co.uk/vehicle-details/used-mercedes-benz-c-class-c63-v8-biturbo-amg-s-night-edition-prem-plus-for-sale-in-leicestershire-u55848/
4727,70000,27298846,72995,https://smithssportsandperformance.co.uk/vehicle-details/used-audi-rs6-avant-tfsi-v8-vorsprung-for-sale-in-leicestershire-u55791/
4727,75000,27844830,78995,https://smithssportsandperformance.co.uk/vehicle-details/used-porsche-718-cayman-gt4-for-sale-in-leicestershire-u55856/
4731,0,24455299,1995,https://silverendcarsales.co.uk/vehicle/name/mercedes-clk-clk240-elegance/
4736,0,26310492,4985,https://www.southandwestmotorsltd.co.uk/used-citroen-berlingo-bath-somerset-5445697
4736,5000,22495016,7855,https://www.southandwestmotorsltd.co.uk/used-audi-a4-bath-somerset-5593428
4736,10000,26818949,10485,https://www.southandwestmotorsltd.co.uk/used-suzuki-vitara-bath-somerset-6630988
4736,20000,25358886,24975,https://www.southandwestmotorsltd.co.uk/used-mercedes-benz-c-class-bath-somerset-5581136
4736,75000,26812597,79885,https://www.southandwestmotorsltd.co.uk/used-porsche-cayenne-bath-somerset-5416070
4738,10000,27320265,14490,https://www.spirecarsltd.co.uk/details/used-car-in-middlesex/toyota/yaris/1.5-vvt-h-gr-sport-e-cvt-euro-6-ss-5dr/1402243/
4738,15000,27654754,19990,https://www.spirecarsltd.co.uk/details/used-car-in-middlesex/mercedes-benz/eclass/2.0-e220d-amg-line-premium-g-tronic+-euro-6-ss-2dr/1429066/
4738,20000,27132913,23990,https://www.spirecarsltd.co.uk/details/used-car-in-middlesex/jeep/wrangler/2.8-crd-sahara-auto-4wd-euro-6-4dr/1385685/
4738,25000,27268782,28990,https://www.spirecarsltd.co.uk/details/used-car-in-middlesex/bmw/x3/2.0-20i-gpf-m-sport-auto-xdrive-euro-6-ss-5dr/1397808/
4738,30000,27654751,31490,https://www.spirecarsltd.co.uk/details/used-car-in-middlesex/bmw/8series/3.0-840i-steptronic-euro-6-ss-4dr/1429787/
